pod_id_location,start_date_utc,end_date_utc,relocate_date_utc,scaling_method,location_name,borough,type,ulez,latitude,longitude,x_coord,y_coord,distance_from_road,height,pollutant
70245,2018-12-22 12:45:00,2019-11-17 23:59:00,,Gold Pod Colocation,St James,Lewisham,Urban Background,No,51.474143,-0.038547000000000005,536322.404508,176842.962945,,2.13,no2
71245,2018-10-16 15:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Beaumont Grove,Tower Hamlets,Urban Background,No,51.521004,-0.046558999999999996,535626.94391,182039.130198,,2.767,no2
72245,2019-02-13 12:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Marylebone,Westminster,Roadside,Yes,51.52304,-0.174732,526729.371844,182035.960747,1.4,3.0,no2
73245,2018-10-24 19:00:00,2019-11-17 23:59:00,,Network Based Calibration,Kew Road,Richmond,Kerbside,No,51.46394,-0.301597,518077.96099799994,175253.886857,1.0,3.03,no2
74245,2019-09-17 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Monnery Road,Islington,Kerbside,No,51.560567,-0.135615,529335.1277,186283.859196,0.1,3.1,no2
75245,2018-10-24 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Robin Hood Health Centre,Sutton,Roadside,No,51.362842,-0.196908,525629.440327,164183.27534700002,1.5,2.9,no2
76245,2018-10-24 15:00:00,2019-11-17 23:59:00,,Network Based Calibration,Roehampton Lane,Wandsworth,Roadside,No,51.455096000000005,-0.243402,522142.839959,174364.57986199998,1.7,3.3,no2
77245,2019-03-13 11:30:00,2019-11-17 23:59:00,,Gold Pod Colocation,Cornwall Road,Lambeth,Kerbside,Yes,51.506643,-0.112107,531120.806151,180322.783528,1.0,3.0,no2
78245,2018-10-24 16:00:00,2019-11-17 23:59:00,,Initial Reference Site Colocation,Cecilia Road,Hackney,Roadside,No,51.549890000000005,-0.06836,534032.0795260001,185211.47014000002,0.3,3.5,no2
80245,2018-11-29 10:00:00,2019-11-17 23:59:00,,Network Based Calibration,Ballance Road,Hackney,Roadside,No,51.5456,-0.03614,536276.330446,184793.61522,0.3,3.3,no2
81245,2018-10-27 07:45:00,2019-11-17 23:59:00,,Gold Pod Colocation,Bonington Road,Havering,Urban Background,No,51.544414,0.21181999999999998,553472.6491800001,185152.472175,10.3,3.02,no2
82245,2018-11-02 00:00:00,2019-11-17 23:59:00,,Initial Reference Site Colocation,Haverstock Hill,Camden,Roadside,No,51.549012,-0.162351,527513.695986,184943.632129,1.3,3.2,no2
83245,2019-05-02 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Brook Drive,Southwark,Urban Background,Yes,51.493213,-0.101559,531889.351697,178848.611167,20.0,2.5,no2
84245,2018-10-19 08:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Cowcross Street,Islington,Urban Background,Yes,51.520109999999995,-0.10341099999999999,531685.531713,181837.529835,3.6,13.7,no2
85245,2019-04-24 14:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Bank Junction,City of London,Kerbside,Yes,51.513206,-0.088786,532723.974216,181095.315152,1.0,3.18,no2
86245,2019-03-01 11:15:00,2019-11-17 23:59:00,,Gold Pod Colocation,Commercial Street,Tower Hamlets,Kerbside,Yes,51.518122999999996,-0.074271,533711.1536140001,181667.110587,0.3,3.1,no2
88245,2018-11-06 12:45:00,2019-11-17 23:59:00,,Gold Pod Colocation,London Wall,City of London,Kerbside,Yes,51.516749,-0.085342,532948.3916859999,181494.006713,0.3,3.03,no2
89245,2019-01-22 13:00:00,2019-11-17 23:59:00,,Gold Pod Colocation,Park Lane,Westminster,Kerbside,Yes,51.507988,-0.153446,528246.837222,180398.76104,0.1,3.3,no2
90245,2019-03-02 10:45:00,2019-11-17 23:59:00,,Network Based Calibration,Broadway Street,Bexley,Roadside,No,51.457879999999996,0.135353,548452.137491,175376.258899,0.46,3.5,no2
92245,2018-10-23 09:00:00,2019-11-17 23:59:00,,Network Based Calibration,High Street,Hillingdon,Roadside,No,51.574253000000006,-0.41358,510034.42605699995,187343.619782,2.3,7.122000000000001,no2
95245,2019-03-05 10:30:00,2019-11-17 23:59:00,,Gold Pod Colocation,Parkside,Merton,Kerbside,No,51.426126000000004,-0.22201300000000002,523711.06498699996,171177.965506,1.0,2.93,no2
96245,2019-04-17 15:59:00,2019-11-17 23:59:00,,Gold Pod Colocation,Rosebery Avenue,Islington,Roadside,Yes,51.52844,-0.10692,531418.0610100001,182755.979735,0.3,3.23,no2
98245,2019-03-04 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Hertford Road,Enfield,Kerbside,No,51.673753000000005,-0.038301,535739.737067,199042.305797,0.2,3.19,no2
100245,2018-10-15 21:00:00,2019-11-17 23:59:00,,Network Based Calibration,National Physical Laboratory,Richmond,Urban Background,No,51.42661,-0.345043,515156.79861099995,171031.444185,4.0,3.0,no2
172450,2019-02-28 00:00:00,2019-04-10 02:00:00,2019-04-10 02:00:00,Network Based Calibration,Clifford Street,Westminster,Urban Background ,Yes,51.51092,-0.141896,529041.482616,180745.50013499998,2.0,20.0,no2
332450,2019-04-05 01:00:00,2019-07-24 02:00:00,2019-07-24 02:00:00,Network Based Calibration,Churchill Gardens Road,Westminster,Urban Background ,No,51.486222999999995,-0.14503,528893.611066,177993.589499,10.5,19.5,no2
332451,2019-09-03 13:00:00,2019-09-17 02:00:00,2019-09-17 02:00:00,Network Based Calibration,Holloway Road,Islington,Roadside,No,51.555386999999996,-0.116092,530700.653308,185732.435757,2.0,2.5,no2
392450,2018-10-24 11:00:00,2019-03-08 01:00:00,2019-03-08 01:00:00,Gold Pod Colocation,Glaisher Street,Greenwich,Urban Background ,No,51.4831,-0.0188,537666.78066,177875.913562,1.5,3.03,no2
422450,2018-10-24 13:00:00,2019-02-06 01:00:00,2019-02-06 01:00:00,Network Based Calibration,Parkside,Merton,Kerbside,No,51.426126000000004,-0.22201300000000002,523711.06498699996,171177.965506,1.26,2.93,no2
552450,2018-10-17 14:00:00,2018-12-17 01:00:00,2018-12-17 01:00:00,Gold Pod Colocation,Wetland Centre,Richmond,Urban Background ,No,51.476168,-0.230427,522991.694675,176728.67143,,3.133,no2
652450,2018-12-16 17:00:00,2019-01-08 01:00:00,2019-01-08 01:00:00,Gold Pod Colocation,Broomhill Road,Bromley,Urban Background ,No,51.379382,0.100759,546298.555309,166574.024974,14.4,3.0,no2
722450,2018-11-02 00:00:00,2019-02-13 01:00:00,2019-02-13 01:00:00,Gold Pod Colocation,Fitzjohn Avenue,Camden,Roadside,No,51.551247,-0.175939,526560.868764,185170.548483,1.1,3.3,no2
742450,2018-10-23 11:00:00,2019-08-12 02:00:00,2019-08-12 02:00:00,Network Based Calibration,Greenhill Way,Harrow,Kerbside,No,51.58092,-0.341502,515014.08426599996,188197.36106,0.3,3.1660000000000004,no2
742451,2019-09-03 13:00:00,2019-09-17 02:00:00,2019-09-17 02:00:00,Network Based Calibration,Holloway Road,Islington,Roadside,No,51.555386999999996,-0.116092,530700.653308,185732.435757,2.0,2.5,no2
832450,2018-12-14 13:15:00,2019-04-18 02:00:00,2019-04-18 02:00:00,Network Based Calibration,Richmond Road,Hackney,Roadside,No,51.54337,-0.057899,534773.800057,184502.544804,1.12,3.1,no2
892450,2018-10-25 13:00:00,2019-01-03 01:00:00,2019-01-03 01:00:00,Gold Pod Colocation,Woolwich Manor Way,Barking & Dagenham,Roadside,No,51.515901,0.060587,543071.225794,181673.419952,0.1,3.3,no2
982450,2018-09-20 11:00:00,2019-01-08 01:00:00,2019-01-08 01:00:00,Network Based Calibration,King William Walk,Greenwich,Roadside,No,51.481858,-0.008609,538371.45224,177755.164668,1.5,3.0,no2
1245,2019-02-15 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Dollis Road,Barnet,Kerbside,No,51.604486,-0.206551,524299.9229199999,191038.626708,1.2,3.1,pm2_5
2245,2019-05-03 10:00:00,2019-11-17 23:59:00,,Network Based Calibration,Great Ormond St Hospital,Camden,Roadside,Yes,51.521879999999996,-0.12043399999999999,530499.42614,182002.318099,2.5,2.8,pm2_5
3245,2018-10-04 18:00:00,2019-11-17 23:59:00,,Network Based Calibration,Savernake Road,Camden,Urban Background,No,51.555484899999996,-0.1523385,528191.724024,185682.95866600002,5.0,2.2969999999999997,pm2_5
5245,2019-03-06 15:55:00,2019-11-17 23:59:00,,Network Based Calibration,Garrett Lane,Wandsworth,Kerbside,No,51.440399,-0.186775,526117.994405,172825.445928,1.0,3.445,pm2_5
6245,2019-03-07 13:37:00,2019-11-17 23:59:00,,Network Based Calibration,Hanworth Road,Hounslow,Kerbside,No,51.468625,-0.35977,514028.37057200004,175680.724203,1.2,3.2,pm2_5
8245,2019-02-14 15:00:00,2019-11-17 23:59:00,,Network Based Calibration,Geraldine Street,Southwark,Urban Background,Yes,51.49562,-0.10541199999999999,531617.141645,179108.998027,21.0,2.225,pm2_5
9245,2019-03-21 11:00:00,2019-11-17 23:59:00,,Network Based Calibration,Whitehall,Westminster,Kerbside,Yes,51.504566,-0.126167,530148.429639,180066.301618,1.2,2.9,pm2_5
10245,2019-04-09 15:00:00,2019-11-17 23:59:00,,Network Based Calibration,Borough High Street,Southwark,Roadside,Yes,51.506130999999996,-0.088654,532747.542696,180309.973221,3.0,5.0,pm2_5
