pod_id_location,start_date_utc,end_date_utc,relocate_date_utc,scaling_method,location_name,borough,type,ulez,latitude,longitude,x_coord,y_coord,distance_from_road,height,pollutant
45245,2018-12-01 00:00:00,2019-11-17 23:59:00,,Network Based Calibration,Ladbroke Grove,Kensington & Chelsea,Roadside,No,51.510768,-0.20529,524642.532682,180618.62420299998,0.4,5.87,pm2_5
46245,2018-10-26 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Exhibition Road,Kensington & Chelsea,Roadside,No,51.495475,-0.173573,526893.216811,178972.81744100002,3.1,6.1,pm2_5
47245,2019-03-14 15:10:00,2019-11-17 23:59:00,,Network Based Calibration,Whitecross,Islington,Urban Background,Yes,51.521451,-0.092771,532419.735741,182004.26721400002,12.4,3.1260000000000003,pm2_5
48245,2018-10-19 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Peckham Road,Southwark,Urban Background,No,51.474326,-0.078151,533567.022028,176786.363545,,2.9,pm2_5
49245,2019-02-19 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Ellenborough Road,Haringey,Urban Background,No,51.599059999999994,-0.095201,532026.382821,190630.297593,6.4,3.5,pm2_5
51245,2019-02-26 15:00:00,2019-11-17 23:59:00,,Network Based Calibration,Lancell Street,Hackney,Urban Background,No,51.5618,-0.07587,533474.200197,186521.90285699998,22.2,2.943,pm2_5
52245,2018-10-16 11:00:00,2019-11-17 23:59:00,,Network Based Calibration,Dagnall Street,Wandsworth,Urban Background,No,51.4738,-0.157493,528063.097291,176590.26077,36.7,3.75,pm2_5
53245,2018-10-17 11:00:00,2019-11-17 23:59:00,,Network Based Calibration,Devas Street,Tower Hamlets,Urban Background,No,51.523099,-0.012704,537967.746117,182340.716925,12.0,2.0,pm2_5
54245,2018-10-10 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Holloway Bus Garage,Islington,Roadside,No,51.561917,-0.132947,529517.730489,186432.37439100002,2.1,2.5810000000000004,pm2_5
55245,2018-12-17 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,Upper Richmond Road,Richmond,Roadside,No,51.465115999999995,-0.254736,521332.781807,175460.284649,4.0,3.0,pm2_5
56245,2018-10-17 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,The Vale,Ealing,Urban Background,No,51.506679,-0.262782,520664.332832,180059.575701,10.0,3.5,pm2_5
57245,2018-10-18 17:00:00,2019-11-17 23:59:00,,Network Based Calibration,Lollard Street,Lambeth,Urban Background,Yes,51.492714,-0.114098,531022.545675,178770.273311,10.0,2.0,pm2_5
59245,2019-03-20 16:48:00,2019-11-17 23:59:00,,Network Based Calibration,Drury Lane,Westminster,Urban Background,Yes,51.513472,-0.119223,530605.458083,181065.683522,7.0,3.0,pm2_5
60245,2019-03-06 12:40:00,2019-11-17 23:59:00,,Network Based Calibration,Camberwell Road,Southwark,Kerbside,No,51.475739000000004,-0.093557,532495.989106,176918.923052,0.7,3.1,pm2_5
62245,2018-10-23 15:00:00,2019-11-17 23:59:00,,Network Based Calibration,Hendon Way,Barnet,Urban Background,No,51.571687,-0.210037,524142.974013,187382.424909,10.6,4.86,pm2_5
63245,2018-10-15 18:00:00,2019-11-17 23:59:00,,Network Based Calibration,Oakdale Road,Redbridge,Urban Background,No,51.592484999999996,0.033283999999999994,540944.936792,190138.843148,1.5,2.965,pm2_5
64245,2018-10-16 10:00:00,2019-11-17 23:59:00,,Network Based Calibration,Morpeth Street,Tower Hamlets,Roadside,No,51.527588,-0.047295,535556.345802,182769.925031,2.0,2.0,pm2_5
65245,2019-02-27 14:17:00,2019-11-17 23:59:00,,Network Based Calibration,Edgware Road,Westminster,Kerbside,No,51.51419,-0.16197899999999998,527638.788829,181073.948739,0.3,3.1,pm2_5
66245,2018-10-16 14:00:00,2019-11-17 23:59:00,,Network Based Calibration,Columbia Road,Tower Hamlets,Urban Background,No,51.528490999999995,-0.074268,533682.749526,182820.754415,15.6,2.6,pm2_5
67245,2019-03-21 10:30:00,2019-11-17 23:59:00,,Network Based Calibration,Wyndham Road,Ealing,Urban Background,No,51.500609999999995,-0.320726,516658.632925,179299.094036,,2.866,pm2_5
68245,2018-11-02 00:00:00,2019-11-17 23:59:00,,Network Based Calibration,Blomfontein Road,Hammersmith & Fulham,Roadside,No,51.514071,-0.235418,522540.618834,180934.59996300002,0.25,3.5,pm2_5
69245,2018-10-18 15:00:00,2019-11-17 23:59:00,,Network Based Calibration,Devonshire Street,Hounslow,Urban Background,No,51.488199,-0.255688,521205.60507,178024.486726,,2.126,pm2_5
70245,2018-10-26 09:00:00,2019-11-17 23:59:00,,Network Based Calibration,St James,Lewisham,Urban Background,No,51.474143,-0.038547000000000005,536322.404508,176842.962945,,2.13,pm2_5
71245,2019-03-12 13:50:00,2019-11-17 23:59:00,,Network Based Calibration,Beaumont Grove,Tower Hamlets,Urban Background,No,51.521004,-0.046558999999999996,535626.94391,182039.130198,,2.767,pm2_5
72245,2019-03-13 15:55:00,2019-11-17 23:59:00,,Network Based Calibration,Marylebone,Westminster,Roadside,Yes,51.52304,-0.174732,526729.371844,182035.960747,1.4,3.0,pm2_5
73245,2019-02-14 13:45:00,2019-11-17 23:59:00,,Network Based Calibration,Kew Road,Richmond,Kerbside,No,51.46394,-0.301597,518077.96099799994,175253.886857,1.0,3.03,pm2_5
75245,2018-10-24 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Robin Hood Health Centre,Sutton,Roadside,No,51.362842,-0.196908,525629.440327,164183.27534700002,1.5,2.9,pm2_5
76245,2019-03-07 10:25:00,2019-11-17 23:59:00,,Network Based Calibration,Roehampton Lane,Wandsworth,Roadside,No,51.455096000000005,-0.243402,522142.839959,174364.57986199998,1.7,3.3,pm2_5
77245,2019-03-13 11:20:00,2019-11-17 23:59:00,,Network Based Calibration,Cornwall Road,Lambeth,Kerbside,Yes,51.506643,-0.112107,531120.806151,180322.783528,1.0,3.0,pm2_5
78245,2019-03-15 23:00:00,2019-11-17 23:59:00,,Network Based Calibration,Cecilia Road,Hackney,Roadside,No,51.549890000000005,-0.06836,534032.0795260001,185211.47014000002,0.3,3.5,pm2_5
80245,2019-03-01 12:19:00,2019-11-17 23:59:00,,Network Based Calibration,Ballance Road,Hackney,Roadside,No,51.5456,-0.03614,536276.330446,184793.61522,0.3,3.3,pm2_5
81245,2018-10-23 09:00:00,2019-11-17 23:59:00,,Network Based Calibration,Bonington Road,Havering,Urban Background,No,51.544414,0.21181999999999998,553472.6491800001,185152.472175,10.3,3.02,pm2_5
82245,2019-03-01 23:00:00,2019-11-17 23:59:00,,Network Based Calibration,Haverstock Hill,Camden,Roadside,No,51.549012,-0.162351,527513.695986,184943.632129,1.3,3.2,pm2_5
83245,2019-05-02 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Brook Drive,Southwark,Urban Background,Yes,51.493213,-0.101559,531889.351697,178848.611167,20.0,2.5,pm2_5
86245,2019-02-28 10:37:00,2019-11-17 23:59:00,,Network Based Calibration,Commercial Street,Tower Hamlets,Kerbside,Yes,51.518122999999996,-0.074271,533711.1536140001,181667.110587,0.3,3.1,pm2_5
88245,2018-10-29 12:00:00,2019-11-17 23:59:00,,Network Based Calibration,London Wall,City of London,Kerbside,Yes,51.516749,-0.085342,532948.3916859999,181494.006713,0.3,3.03,pm2_5
90245,2019-02-27 15:00:00,2019-11-17 23:59:00,,Network Based Calibration,Broadway Street,Bexley,Roadside,No,51.457879999999996,0.135353,548452.137491,175376.258899,0.46,3.5,pm2_5
93245,2019-07-03 13:00:00,2019-11-17 23:59:00,,Network Based Calibration,Beckenham Lane,Bromley,Roadside,No,51.4073728,0.005778899999999999,539603.268287,169496.44126199998,4.0,3.0,pm2_5
96245,2019-03-08 10:27:00,2019-11-17 23:59:00,,Network Based Calibration,Rosebery Avenue,Islington,Roadside,Yes,51.52844,-0.10692,531418.0610100001,182755.979735,0.3,3.23,pm2_5
98245,2019-03-04 23:00:00,2019-11-17 23:59:00,,Network Based Calibration,Hertford Road,Enfield,Kerbside,No,51.673753000000005,-0.038301,535739.737067,199042.305797,0.2,3.19,pm2_5
332450,2018-10-16 17:00:00,2019-07-24 02:00:00,2019-07-24 02:00:00,Network Based Calibration,Churchill Gardens Road,Westminster,Urban Background ,No,51.486222999999995,-0.14503,528893.611066,177993.589499,10.5,19.5,pm2_5
332451,2019-09-03 13:00:00,2019-09-17 02:00:00,2019-09-17 02:00:00,Network Based Calibration,Holloway Road,Islington,Roadside,No,51.555386999999996,-0.116092,530700.653308,185732.435757,2.0,2.5,pm2_5
